2013-06-09T19:59:40+02:00 INFO (6): guest IP: 127.0.0.1  URL: http://shop.com/
2013-06-09T19:59:42+02:00 INFO (6): guest IP: 127.0.0.1  URL: http://shop.com/favicon.ico
2013-06-09T19:59:46+02:00 INFO (6): guest IP: 127.0.0.1  URL: http://shop.com/user/login/
2013-06-09T19:59:48+02:00 INFO (6): guest IP: 127.0.0.1  URL: http://shop.com/favicon.ico
2013-06-09T19:59:54+02:00 INFO (6): guest IP: 127.0.0.1  URL: http://shop.com/user/login/
2013-06-09T19:59:55+02:00 INFO (6): admin IP: 127.0.0.1  URL: http://shop.com/admin
2013-06-09T19:59:57+02:00 INFO (6): admin IP: 127.0.0.1  URL: http://shop.com/favicon.ico
2013-06-09T20:00:02+02:00 INFO (6): admin IP: 127.0.0.1  URL: http://shop.com/admin/products
2013-06-09T20:00:04+02:00 INFO (6): admin IP: 127.0.0.1  URL: http://shop.com/favicon.ico
2013-06-09T20:04:21+02:00 INFO (6): admin IP: 127.0.0.1  URL: http://shop.com/admin/products/
2013-06-09T20:04:22+02:00 INFO (6): admin IP: 127.0.0.1  URL: http://shop.com/favicon.ico
2013-06-09T20:04:25+02:00 INFO (6): admin IP: 127.0.0.1  URL: http://shop.com/admin/catalog/
2013-06-09T20:04:26+02:00 INFO (6): admin IP: 127.0.0.1  URL: http://shop.com/favicon.ico
2013-06-09T20:04:28+02:00 INFO (6): admin IP: 127.0.0.1  URL: http://shop.com/user/logout/
2013-06-09T20:04:28+02:00 INFO (6): guest IP: 127.0.0.1  URL: http://shop.com/admin/catalog/
2013-06-09T20:04:29+02:00 INFO (6): guest IP: 127.0.0.1  URL: http://shop.com/favicon.ico
2013-06-09T20:04:31+02:00 INFO (6): guest IP: 127.0.0.1  URL: http://shop.com/user/login/
2013-06-09T20:04:32+02:00 INFO (6): guest IP: 127.0.0.1  URL: http://shop.com/favicon.ico
2013-06-09T20:04:38+02:00 INFO (6): guest IP: 127.0.0.1  URL: http://shop.com/user/login/
2013-06-09T20:04:39+02:00 INFO (6): admin IP: 127.0.0.1  URL: http://shop.com/admin
2013-06-09T20:04:40+02:00 INFO (6): admin IP: 127.0.0.1  URL: http://shop.com/favicon.ico
2013-06-09T20:05:02+02:00 INFO (6): admin IP: 127.0.0.1  URL: http://shop.com/admin/catalog/
2013-06-09T20:05:03+02:00 INFO (6): admin IP: 127.0.0.1  URL: http://shop.com/favicon.ico
